director_name,genres,actor_1_name,movie_title,imdb_score,title_year
Akiva Schaffer,Action|Comedy|Sci-Fi,Will Forte,The Watch,7.5,2012
Al Franklin,Horror,Marshal Hilton,Teeth and Blood,4,2015
Al Silliman Jr.,Comedy|Drama,Christina Hart,The Stewardesses,3.9,1969
Alain Resnais,Drama|Romance,Mathieu Amalric,Wild Grass,6.4,2009
Alan Alda,Comedy|Drama,Rita Moreno,The Four Seasons,6,1981
Alan Cohn,Comedy,Alyson Hannigan,Dead Man on Campus,6.4,1998
Alan J. Pakula,Crime|Drama|Mystery|Thriller,Denzel Washington,The Pelican Brief,7.3,1993
Alan J. Pakula,Action|Crime|Drama|Thriller,Harrison Ford,The Devil's Own,7.9,1997
Alan Jacobs,Drama,Snoop Dogg,Down for Life,5.7,2009
Alan Metter,Comedy|Crime,Christopher Lee,Police Academy: Mission to Moscow,6.2,1994
Alan Parker,Drama,Emily Watson,Angela's Ashes,6.9,1999
Alan Parker,Crime|Drama|Thriller,Kevin Spacey,The Life of David Gale,7.4,2003
Alan Parker,Biography|Drama|History|Musical,Andrea Corr,Evita,7.5,1996
Alan Poul,Comedy|Romance,Danneel Ackles,The Back-up Plan,7.2,2010
Alan Rudolph,Comedy,Bruce Willis,Breakfast of Champions,6.3,1999
Alan Shapiro,Adventure|Family,Paul Hogan,Flipper,6.9,1996
Alan Taylor,Action|Adventure|Fantasy,Chris Hemsworth,Thor: The Dark World,8.5,2013
Alan Taylor,Action|Adventure|Sci-Fi,J.K. Simmons,Terminator Genisys,8.6,2015
Alan Yuen,Action|Crime|Thriller,Andy Lau,Firestorm,6.7,2013
Albert Brooks,Comedy,Jeff Bridges,The Muse,6.5,1999
Albert Hughes,Crime|Drama|Thriller,Jada Pinkett Smith,Menace II Society,5.6,1993
Albert Hughes,Horror|Mystery|Thriller,Johnny Depp,From Hell,7.1,2001
Albert Hughes,Horror|Mystery|Thriller,Johnny Depp,From Hell,7.3,2001
Albert Hughes,Action|Adventure|Drama|Thriller,Denzel Washington,The Book of Eli,7.8,2010
Alec Asten,Action,Luis Sanchez,Diamond Ruff,4.4,2015
Alejandro Agresti,Drama|Fantasy|Romance,Keanu Reeves,The Lake House,7.3,2006
Alejandro Amenbar,Biography|Drama|Romance,Beln Rueda,The Sea Inside,6.4,2004
Alejandro Amenbar,Fantasy|Horror|Thriller,Fionnula Flanagan,The Others,6.6,2001
Alejandro Amenbar,Crime|Drama|Mystery|Thriller,Emma Watson,Regression,6.7,2015
Alejandro Amenbar,Adventure|Drama|History|Romance,Max Minghella,Agora,7.7,2009
Alejandro G. Irritu,Drama|Thriller,Adriana Barraza,Amores Perros,5.4,2000
Alejandro G. Irritu,Comedy|Drama|Romance,Emma Stone,Birdman or (The Unexpected Virtue of Ignorance),6.6,2014
Alejandro G. Irritu,Drama,Brad Pitt,Babel,6.7,2006
Alejandro G. Irritu,Drama,Naomi Watts,21 Grams,6.7,2003
Alejandro G. Irritu,Drama,Maricel lvarez,Biutiful,7.1,2010
Alejandro G. Irritu,Adventure|Drama|Thriller|Western,Leonardo DiCaprio,The Revenant,8.3,2015
Alejandro Monteverde,Drama|Romance,Armando Riesco,Bella,5.6,2006
Alejandro Monteverde,Drama|War,Tom Wilkinson,Little Boy,6.7,2015
Aleksandr Veledinskiy,Adventure|Drama,Konstantin Khabenskiy,The Geographer Drank His Globe Away,5.7,2013
Aleksey German,Drama|Sci-Fi,Leonid Yarmolnik,Hard to Be a God,6,2013
Alessandro Carloni,Action|Adventure|Animation|Comedy|Family,J.K. Simmons,Kung Fu Panda 3,8.4,2016
Alex Cox,Comedy|Crime|Sci-Fi|Thriller,Del Zamora,Repo Man,5.2,1984
Alex Craig Mann,Comedy|Horror,Justin Chon,Detention of the Dead,4.5,2012
lex de la Iglesia,Crime|Mystery|Thriller,Jim Carter,The Oxford Murders,6.2,2008
Alex Garland,Drama|Mystery|Sci-Fi|Thriller,Elina Alminas,Ex Machina,6.4,2015
Alex Gibney,Crime|Documentary|War,Alex Gibney,Taxi to the Dark Side,4.9,2007
Alex Kendrick,Drama,Shannen Fields,Flywheel,2.5,2003
Alex Kendrick,Drama|Sport,Alex Kendrick,Facing the Giants,3.4,2006
Alex Kendrick,Drama|Romance,Kirk Cameron,Fireproof,4.6,2008
Alex Kendrick,Drama,Ben Davies,Courageous,5.4,2011
Alex Proyas,Action|Drama|Fantasy|Mystery|Sci-Fi|Thriller,Rufus Sewell,Dark City,6.9,1998
Alex Proyas,Action|Drama|Fantasy,Michael Wincott,The Crow,7.2,1994
Alex Proyas,Drama|Mystery|Sci-Fi|Thriller,Nicolas Cage,Knowing,7.4,2009
Alex Proyas,Action|Mystery|Sci-Fi|Thriller,Will Smith,"""I",8.1,120000000
Alex Proyas,Action|Adventure|Fantasy,Gerard Butler,Gods of Egypt,8.3,2016
Alex Ranarivelo,Drama,Lea Thompson,The Dog Lover,5.1,2016
Alex Rivera,Drama|Romance|Sci-Fi|Thriller,Leonor Varela,Sleep Dealer,5.4,2008
Alex Smith,Drama|Sport,Ryan Gosling,The Slaughter Rule,4.5,2002
Alex van Warmerdam,Comedy|Drama,Rijk de Gooyer,The Dress,5.5,1996
Alex Zamm,Comedy,Taylor Negron,Chairman of the Board,6,1998
Alexander Payne,Comedy|Drama,Matthew Broderick,Election,6.1,1999
Alexander Payne,Adventure|Comedy|Drama,Devin Ratray,Nebraska,6.3,2013
Alexander Payne,Adventure|Comedy|Drama|Romance,Virginia Madsen,Sideways,6.6,2004
Alexander Payne,Comedy|Drama,Shailene Woodley,The Descendants,6.7,2011
Alexander Payne,Comedy|Drama,Hope Davis,About Schmidt,7.1,2002
Alexander Witt,Action|Horror|Sci-Fi|Thriller,Milla Jovovich,Resident Evil: Apocalypse,7.4,2004
Alexandre Aja,Horror,Ccile De France,High Tension,5.5,2003
Alexandre Aja,Horror,Dan Byrd,The Hills Have Eyes,6.6,2006
Alexandre Aja,Comedy|Horror,Adam Scott,Piranha 3D,6.8,2010
Alexandre Aja,Horror|Mystery,Jason Flemyng,Mirrors,7.1,2008
Alfonso Cuarn,Adventure|Comedy|Drama|Romance,Maribel Verd,Y Tu Mam Tambin,5.9,2001
Alfonso Cuarn,Drama|Sci-Fi|Thriller,Charlie Hunnam,Children of Men,7.8,2006
Alfonso Cuarn,Adventure|Drama|Sci-Fi|Thriller,Phaldut Sharma,Gravity,8.1,2013
Alfonso Cuarn,Adventure|Family|Fantasy|Mystery,Daniel Radcliffe,Harry Potter and the Prisoner of Azkaban,8.3,2004
Alfred Hitchcock,Comedy|Mystery|Romance,Jerry Mathers,The Trouble with Harry,5.1,1955
Alfred Hitchcock,Drama|Film-Noir|Mystery|Thriller,Laurence Olivier,Rebecca,5.1,1940
Alfred Hitchcock,Film-Noir|Mystery|Romance|Thriller,Norman Lloyd,Spellbound,5.2,1945
Alfred Hitchcock,Comedy|Thriller,Ed Lauter,Family Plot,5.6,1976
Alfred Hitchcock,Thriller,Bernard Cribbins,Frenzy,5.6,1972
Alfred Hitchcock,Thriller,Tamara Toumanova,Torn Curtain,5.6,1966
Alfred Hitchcock,Drama|Thriller,Roscoe Lee Browne,Topaz,5.7,1969
Alfred Hitchcock,Horror|Mystery|Thriller,Janet Leigh,Psycho,6.7,1960
Alice Wu,Comedy|Drama|Romance,Joan Chen,Saving Face,5.4,2004
Alison Maclean,Drama,Billy Crudup,Jesus' Son,5.4,1999
Alister Grierson,Adventure|Drama|Thriller,Ioan Gruffudd,Sanctum,7,2011
Allan Arkush,Comedy|Sci-Fi,Bernadette Peters,Heartbeeps,6.2,1981
Allan Dwan,Action|Drama|Romance|War,James Brown,Sands of Iwo Jima,5,1949
Allen Coulter,Drama|Romance,Robert Pattinson,Remember Me,6.6,2010
Allen Hughes,Crime|Drama|Thriller,Alona Tal,Broken City,7.1,2013
Allison Anders,Comedy|Music,Ally Sheedy,Sugar Town,4,1999
Allison Anders,Comedy|Fantasy,Salma Hayek,Four Rooms,5.7,1995
Allison Burnett,Drama,Kimberly Williams-Paisley,Ask Me Anything,4.8,2014
Amal Al-Agroobi,Documentary|Family,,The Brain That Sings,3.5,2013
Amanda Gusack,Crime|Drama|Mystery|Thriller,Alice Krige,The Betrayed,5.6,2008
Amat Escalante,Crime|Drama|Romance,Kenny Johnston,Heli,4.9,2013
Amy Heckerling,Comedy|Drama,Jennifer Jason Leigh,Fast Times at Ridgemont High,5.8,1982
Amy Heckerling,Comedy|Romance,Donald Faison,Clueless,6.4,1995
Amy Heckerling,Comedy|Horror|Romance,Taylor Negron,Vamps,6.5,2012
Amy Heckerling,Comedy|Romance,Andy Dick,Loser,6.7,2000
Amy Holden Jones,Drama|Romance,Jamie Lee Curtis,Love Letters,4.6,1983
Analeine Cal y Mayor,Comedy|Drama,Zo Kravitz,Treading Water,5.8,2013
Anand Tucker,Biography|Drama,Colin Firth,When Did You Last See Your Father?,6.1,2007
Anand Tucker,Drama|Romance,Frances Conroy,Shopgirl,6.1,2005
Anand Tucker,Comedy|Romance,Adam Scott,Leap Year,6.7,2010
Andr vredal,Comedy|Drama|Fantasy|Horror,Otto Jespersen,Trollhunter,5.6,2010
Andr Tchin,Drama,Catherine Deneuve,The Girl on the Train,6.1,2009
Andrea Arnold,Drama,Michael Fassbender,Fish Tank,5.5,2009
Andrea Di Stefano,Crime|Drama|Romance|Thriller,Josh Hutcherson,Escobar: Paradise Lost,6.6,2014
Andrei Tarkovsky,Drama|Mystery|Sci-Fi,Donatas Banionis,Solaris,7.4,1972
Andrs Couturier,Animation|Family,Sariann Monaco,Top Cat Begins,7.8,2015
Andrs Muschietti,Fantasy|Horror,Javier Botet,Mama,6.5,2013
Andrew Adamson,Fantasy,Dallas Barnett,Cirque du Soleil: Worlds Away,6.8,2012
Andrew Adamson,Adventure|Animation|Comedy|Family|Fantasy,Kathleen Freeman,Shrek,7.5,2001
Andrew Adamson,Adventure|Animation|Comedy|Family|Fantasy|Romance,Rupert Everett,Shrek 2,7.7,2004
Andrew Adamson,Adventure|Family|Fantasy,Jim Broadbent,"""The Chronicles of Narnia: The Lion",9.2,180000000
Andrew Adamson,Action|Adventure|Family|Fantasy,Peter Dinklage,The Chronicles of Narnia: Prince Caspian,904,2008
Andrew Berends,Documentary|War,,The Blood of My Brother,3.5,2005
Andrew Bergman,Biography|Comedy|Romance,Stockard Channing,Isn't She Great,7.2,2000
Andrew Bergman,Comedy|Crime|Drama|Thriller,Demi Moore,Striptease,7.4,1996
Andrew Bujalski,Comedy|Drama,Andrew Bujalski,Funny Ha Ha,2.7,2002
Andrew Bujalski,Comedy,Andrew Bujalski,Mutual Appreciation,2.8,2005
Andrew Currie,Comedy|Drama|Horror|Sci-Fi,Alexia Fast,Fido,6.1,2006
Andrew Davis,Adventure|Comedy|Drama|Family|Mystery,Tim Blake Nelson,Holes,6.7,2003
Andrew Davis,Action|Adventure|Crime|Drama|Mystery|Thriller,Harrison Ford,The Fugitive,7.3,1993
Andrew Davis,Action|Drama|Sci-Fi|Thriller,Keanu Reeves,Chain Reaction,7.5,1996
Andrew Davis,Action|Drama|Thriller,Raymond Cruz,Collateral Damage,7.9,2002
Andrew Dominik,Crime|Thriller,Brad Pitt,Killing Them Softly,6.5,2012
Andrew Dominik,Biography|Crime|Drama|History|Western,Brad Pitt,The Assassination of Jesse James by the Coward Robert Ford,7,2007
Andrew Douglas,Drama|Horror|Mystery|Thriller,Jimmy Bennett,The Amityville Horror,6.6,2005
Andrew Erwin,Drama,Rachel Hendrix,October Baby,5,2011
Andrew Erwin,Comedy,Alex Kendrick,Moms' Night Out,5.8,2014
Andrew Fleming,Comedy|Music,Steve Coogan,Hamlet 2,6.1,2008
Andrew Fleming,Comedy,Ryan Reynolds,Dick,6.4,1999
Andrew Fleming,Drama|Fantasy|Horror|Thriller,Christine Taylor,The Craft,6.5,1996
Andrew Fleming,Comedy|Crime|Family|Mystery|Romance|Thriller,Kay Panabaker,Nancy Drew,6.7,2007
Andrew Haigh,Drama|Romance,Tom Cullen,Weekend,3.6,2011
Andrew Hyatt,Horror|Thriller,Noah Segan,The Frozen,4,2012
Andrew Jarecki,Crime|Drama|Mystery|Romance|Thriller,Ryan Gosling,All Good Things,6.7,2010
Andrew Leman,Fantasy|Horror|Mystery|Thriller,Dan Novy,The Call of Cthulhu,3,2005
Andrew Morahan,Action|Fantasy|Romance|Sci-Fi,Christopher Lambert,Highlander: The Final Dimension,6.9,1994
Andrew Niccol,Drama|Thriller,Bruce Greenwood,Good Kill,4.5,2014
Andrew Niccol,Action|Sci-Fi|Thriller,Matt Bomer,In Time,7.2,2011
Andrew Niccol,Drama|Sci-Fi|Thriller,Blair Underwood,Gattaca,7.2,1997
Andrew Niccol,Crime|Drama|Thriller,Nicolas Cage,Lord of War,7.3,2005
Andrew Niccol,Action|Adventure|Romance|Sci-Fi|Thriller,J.D. Evermore,The Host,7.4,2013
Andrew Stanton,Adventure|Animation|Comedy|Family,Alexander Gould,Finding Nemo,8,2003
Andrew Stanton,Adventure|Animation|Family|Sci-Fi,John Ratzenberger,WALLE,34,2008
Andrew Stanton,Action|Adventure|Sci-Fi,Daryl Sabara,John Carter,2011,2012
Andrew Steggall,Drama|Family|Romance,Juliet Stevenson,Departure,5,2015
Andrew Traucki,Horror|Thriller,Damian Walshe-Howling,The Reef,6.2,2010
Andrew Wilson,Comedy|Drama|Romance,Will Ferrell,The Wendell Baker Story,6.1,2005
Andrey Konchalovskiy,Action|Comedy|Crime|Thriller,Sylvester Stallone,Tango & Cash,7.5,1989
Andrey Konchalovskiy,Action|Family|Fantasy|Musical,Shirley Henderson,The Nutcracker in 3D,7.9,2010
Andrey Zvyagintsev,Drama|Mystery|Thriller,Konstantin Lavronenko,The Return,6.5,2003
Andrucha Waddington,Drama,Fernanda Montenegro,House of Sand,5.7,2005
Andrzej Bartkowiak,Action|Crime|Drama|Thriller,Jet Li,Cradle 2 the Grave,6.9,2003
Andrzej Bartkowiak,Action|Crime|Thriller,Jet Li,Romeo Must Die,6.9,2000
Andrzej Bartkowiak,Action|Comedy|Crime|Drama|Thriller,Michael Jai White,Exit Wounds,7.1,2001
Andrzej Bartkowiak,Action|Crime|Drama|Mystery|Thriller,Chris Klein,Street Fighter: The Legend of Chun-Li,7.4,2009
Andrzej Bartkowiak,Action|Adventure|Horror|Sci-Fi,Dwayne Johnson,Doom,7.7,2005
Andy Cadiff,Comedy|Romance,Annabella Sciorra,Chasing Liberty,6.8,2004
Andy Cadiff,Comedy|Romance,Annabella Sciorra,Chasing Liberty,7,2004
Andy Fickman,Comedy|Family|Romance,Jamie Lee Curtis,You Again,6.7,2010
Andy Fickman,Comedy|Family|Sport,Dwayne Johnson,The Game Plan,6.8,2007
Andy Fickman,Comedy|Family,Bailee Madison,Parental Guidance,6.9,2012
Andy Fickman,Comedy|Romance,Channing Tatum,She's the Man,6.9,2006
Andy Fickman,Action|Comedy|Crime,D.B. Woodside,Paul Blart: Mall Cop 2,7.2,2015
Andy Fickman,Action|Adventure|Family|Fantasy|Sci-Fi|Thriller,Dwayne Johnson,Race to Witch Mountain,7.4,2009
Andy Garcia,Drama|Romance,Danny Pino,The Lost City,6.2,2005
Andy Tennant,Comedy|Drama|Romance,Anjelica Huston,Ever After: A Cinderella Story,6.9,1998
Andy Tennant,Comedy|Romance,Ethan Embry,Sweet Home Alabama,7.2,2002
Andy Tennant,Action|Comedy|Romance,Gerard Butler,The Bounty Hunter,7.3,2010
Andy Tennant,Comedy|Romance,Will Smith,Hitch,7.5,2005
Andy Tennant,Action|Adventure|Comedy|Romance|Thriller,Matthew McConaughey,Fool's Gold,7.7,2008
Andy Tennant,Drama|History|Romance,Bai Ling,Anna and the King,7.8,1999
Ang Lee,Drama|Romance,Jake Gyllenhaal,Brokeback Mountain,6.4,2005
Ang Lee,Action|Drama|Romance,Chen Chang,"""Crouching Tiger",6.5,15000000
Ang Lee,Drama,Joan Allen,The Ice Storm,6.6,1997
Ang Lee,Drama|Romance,Alan Rickman,Sense and Sensibility,6.6,1995
Ang Lee,Comedy|Drama|Music,Imelda Staunton,Taking Woodstock,7,2009
Ang Lee,Drama|Romance|War|Western,Jeremy W. Auman,Ride with the Devil,7.1,1999
Ang Lee,Adventure|Drama|Fantasy,Suraj Sharma,Life of Pi,8.2,2012
Ang Lee,Action|Sci-Fi,Kevin Rankin,Hulk,8.3,2003
Angela Robinson,Action|Comedy|Romance,Jordana Brewster,D.E.B.S.,5.6,2004
Angela Robinson,Adventure|Comedy|Family|Fantasy|Romance|Sport,Scoot McNairy,Herbie Fully Loaded,7.4,2005
Angelina Jolie Pitt,Drama|Romance|War,Jelena Jovanova,In the Land of Blood and Honey,6.4,2011
Angelina Jolie Pitt,Drama|Romance,Brad Pitt,By the Sea,6.7,2015
Angelina Jolie Pitt,Biography|Drama|Sport|War,Finn Wittrock,Unbroken,7.3,2014
Angelina Jolie Pitt,Biography|Drama|Sport|War,Finn Wittrock,Unbroken,7.7,2014
Angelo Pizzo,Biography|Drama|Sport,Donny Boaz,Courage,6.7,2015
Anna Boden,Comedy|Drama|Romance,Zo Kravitz,It's Kind of a Funny Story,6.1,2010
Anna Mastro,Comedy|Drama,Leven Rambin,Walter,4.6,2015
Anna Muylaert,Comedy|Drama,Alex Huszar,The Second Mother,5.1,2015
Annabel Jankel,Adventure|Comedy|Family|Fantasy|Sci-Fi,Bob Hoskins,Super Mario Bros.,7.3,1993
Anne Fletcher,Crime|Drama|Music|Romance,Channing Tatum,Step Up,6.4,2006
Anne Fletcher,Action|Comedy|Crime,Jim Gaffigan,Hot Pursuit,7.1,2015
Anne Fletcher,Comedy|Romance,Judy Greer,27 Dresses,7.1,2008
Anne Fletcher,Comedy|Drama,Miriam Margolyes,The Guilt Trip,7.2,2012
Anne Fletcher,Comedy|Drama|Romance,Ryan Reynolds,The Proposal,7.3,2009
Anne Fontaine,Drama|Romance,Robin Wright,Adore,5.7,2013
Anne Fontaine,Biography|Drama,Alessandro Nivola,Coco Before Chanel,6.8,2009
Anthony Bell,Adventure|Animation|Comedy|Family|Romance,Kevin Sussman,Alpha and Omega,6.7,2010
Anthony C. Ferrante,Horror,Ian Ziering,Sharknado,5.6,2013
Anthony Hemingway,Action|Adventure|Drama|History|War,David Oyelowo,Red Tails,7.5,2012
Anthony Hickox,Fantasy|Horror,Julian Sands,Warlock: The Armageddon,5.5,1993
Anthony Mann,Drama|History|War,James Mason,The Fall of the Roman Empire,6.7,1964
Anthony Minghella,Drama|Romance|War,Colin Firth,The English Patient,7.2,1996
Anthony Minghella,Crime|Drama|Thriller,Philip Seymour Hoffman,The Talented Mr. Ripley,7.3,1999
Anthony Minghella,Adventure|Drama|History|Romance|War,Philip Seymour Hoffman,Cold Mountain,7.8,2003
Anthony O'Brien,Adventure|Drama|Western,James Ransone,The Timber,5.4,2015
Anthony Powell,Adventure|Biography|Documentary|Drama,Josh Swanson,Antarctica: A Year on Ice,4.9,2013
Anthony Russo,Comedy|Crime,Michael Jeter,Welcome to Collinwood,6.3,2002
Anthony Russo,Comedy|Romance,Todd Stashwick,"""You",7.5,54000000
Anthony Russo,Action|Adventure|Sci-Fi,Scarlett Johansson,Captain America: The Winter Soldier,8.7,2014
Anthony Russo,Action|Adventure|Sci-Fi,Robert Downey Jr.,Captain America: Civil War,650,2016
Anthony Silverston,Adventure|Animation|Family,Liam Neeson,Khumba,6.5,2013
Anthony Vallone,Crime|Drama,Richard Jewell,The Mongol King,1.9,2005
Antoine Fuqua,Crime|Drama|Thriller,Don Cheadle,Brooklyn's Finest,6.6,2009
Antoine Fuqua,Action|Crime|Thriller,Mira Sorvino,The Replacement Killers,7,1998
Antoine Fuqua,Drama|Sport,Jake Gyllenhaal,Southpaw,7,2015
Antoine Fuqua,Crime|Drama|Thriller,Denzel Washington,Training Day,7.3,2001
Antoine Fuqua,Action|Crime|Thriller,Denzel Washington,The Equalizer,7.5,2014
Antoine Fuqua,Action|Crime|Drama|Mystery|Thriller,Tate Donovan,Shooter,7.6,2007
Antoine Fuqua,Action|Thriller,Gerard Butler,Olympus Has Fallen,7.7,2013
Antoine Fuqua,Action|Drama|Thriller|War,Bruce Willis,Tears of the Sun,7.8,2003
Anton Corbijn,Biography|Drama|Music,Sam Riley,Control,6,2007
Anton Corbijn,Crime|Drama|Thriller,Philip Seymour Hoffman,A Most Wanted Man,6.5,2014
Anton Corbijn,Crime|Drama|Thriller,Violante Placido,The American,6.7,2010
Antonia Bird,Fantasy|Horror|Thriller,Jeremy Davies,Ravenous,6.3,1999
Antonio Banderas,Comedy|Crime|Drama,Meat Loaf,Crazy in Alabama,6.5,1999
Antonio Simoncini,Crime|Mystery|Thriller,Ray Winstone,Lords of London,5.6,2014
Antony Hoffman,Action|Sci-Fi|Thriller,Bob Neill,Red Planet,7.8,2000
Anurag Basu,Action|Drama|Romance|Thriller,Brbara Mori,Kites,6.2,2010
Ari Folman,Animation|Biography|Documentary|Drama|History|War,Ari Folman,Waltz with Bashir,5.4,2008
Ari Kirschenbaum,Drama|Horror|Mystery|Thriller,R. Brandon Johnson,Fabled,4.3,2002
Ari Sandel,Comedy,Bella Thorne,The DUFF,6.1,2015
Arie Posin,Comedy|Drama,Rory Culkin,The Chumscrubber,6,2005
Ariel Vromen,Biography|Crime|Drama,Chris Evans,The Iceman,6.2,2012
Ariel Vromen,Action|Crime|Drama|Mystery|Sci-Fi|Thriller,Gary Oldman,Criminal,7.1,2016
Arjun Sablok,Comedy|Musical|Romance,Abhishek Bachchan,Neal 'N' Nikki,5.1,2005
Arthur Hiller,Comedy,Eric Idle,An Alan Smithee Film: Burn Hollywood Burn,6.2,1997
Asger Leth,Action|Crime|Thriller,Robert Clohessy,Man on a Ledge,7.3,2012
Asghar Farhadi,Drama|Mystery,Shahab Hosseini,A Separation,4.8,2011
Ash Baron-Cohen,Crime|Drama,Peter Greene,Bang,2,1995
Ash Brannon,Animation|Comedy|Family|Sport,Jeff Bridges,Surf's Up,8,2007
Ashish R. Mohan,Action|Comedy,Asin,Khiladi 786,5.9,2012
Atom Egoyan,Drama|Mystery|Romance,Bruce Greenwood,Exotica,5.2,1994
Atom Egoyan,Drama,Bruce Greenwood,The Sweet Hereafter,5.8,1997
Atom Egoyan,Drama|Mystery|Romance|Thriller,Liam Neeson,Chloe,6.4,2009
Atom Egoyan,Drama|Thriller,Bob Hoskins,Felicia's Journey,6.5,1999
Atom Egoyan,Drama|War,David Alpay,Ararat,6.5,2002
Atom Egoyan,Crime|Drama|Mystery|Thriller,Colin Firth,Where the Truth Lies,6.8,2005
Audrey Wells,Comedy|Drama|Romance,Raoul Bova,Under the Tuscan Sun,6.6,2003
Ava DuVernay,Drama,Omari Hardwick,Middle of Nowhere,3.8,2012
Ava DuVernay,Biography|Drama|History,David Oyelowo,Selma,6.7,2014
Avi Nesher,Action|Comedy|Crime|Thriller,Fisher Stevens,Taxman,5.6,1998
Ayan Mukerji,Comedy|Drama|Musical|Romance,Ranbir Kapoor,Yeh Jawaani Hai Deewani,6.1,2013
Babak Najafi,Action|Crime|Drama|Thriller,Gerard Butler,London Has Fallen,7.6,2016
Babar Ahmed,Action|Thriller,Lalaine,Royal Kill,4.1,2009
Baltasar Kormkur,Action|Crime|Drama|Thriller,J.K. Simmons,Contraband,6.9,2012
Baltasar Kormkur,Action|Comedy|Crime|Drama|Thriller,Denzel Washington,2 Guns,7.6,2013
Baltasar Kormkur,Adventure|Biography|Drama|History|Sport|Thriller,Michael Kelly,Everest,7.6,2015
Barbet Schroeder,Crime|Mystery|Thriller,Ryan Gosling,Murder by Numbers,5.9,2002
Barbet Schroeder,Action|Crime|Thriller,Nicolas Cage,Kiss of Death,7.2,1995
Barbet Schroeder,Crime|Mystery|Thriller,Ryan Gosling,Murder by Numbers,7.4,2002
Barbra Streisand,Drama|Musical|Romance,Miriam Margolyes,Yentl,6.4,1983
Barbra Streisand,Drama|Romance,George Carlin,The Prince of Tides,7.1,1991
